Slaughtering,0.9,0.9,0.9,0.9,0.93,0.92,0.90,0.89
3. Electricity Generation & Distribution & Gas,,,,,,,,
"",2.4,2.4,1.7,1.6,1.75,1.83,1.84,1.77
Distribution,,,,,,,,
4. Construction,2.4,2.4,2.3,2.3,2.41,2.62,2.74,2.82
COMMODITY PRODUCING SECTOR (A+B),42.9,42.6,41.8,41.6,41.39,40.74,40.13,39.77
C. SERVICES SECTOR,57.1,57.4,58.2,58.44,58.61,59.26,59.87,60.23
1. Wholesale & Retail Trade,18.8,18.4,18.4,18.5,18.28,18.31,18.67,18.98
"2. Transport, Storage & Communication",13.1,13.2,13.3,13.3,13.40,13.44,13.32,13.04
3. Finance & Insurance,3.0,2.9,3.1,3.1,3.16,3.21,3.38,3.39
4. Housing Services (Ownership of Dwellings),6.7,6.7,6.8,6.8,6.76,6.72,6.63,6.52
5. General Government Services,6.2,6.7,7.2,7.1,7.14,7.49,7.53,7.93
6. Other Private Services,9.1,9.4,9.5,9.7,9.88,10.09,10.34,10.38
GDP {Total of GVA at bp (A + B + C)},100.0,100.0,100.0,100.0,100.00,100.00,100.00,100.00
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
"",,,,,,F,R,P
A. Agriculture,1.96,3.62,2.68,2.50,2.13,0.15,2.07,3.81
1. Crops,0.99,3.22,1.53,2.64,0.16,-5.27,0.91,3.83
Important Crops,1.50,7.87,0.17,7.22,-1.62,-5.86,2.18,3.57
Other Crops,2.27,-7.52,5.58,-5.71,2.51,0.40,-2.66,3.33
Cotton Ginning,-8.48,13.83,-2.90,-1.33,7.24,-22.12,5.58,8.72
2. Livestock,3.39,3.99,3.45,2.48,3.99,3.36,2.99,3.76
3. Forestry,4.76,1.79,6.58,1.88,-12.45,14.31,-2.37,7.17
4. Fishing,-15.20,3.77,0.65,0.98,5.75,3.25,1.23,1.63
B. INDUSTRIAL SECTOR,4.51,2.55,0.75,4.53,5.18,5.69,5.43,5.80
1. Mining & Quarrying,-4.42,5.16,3.88,1.40,4.97,6.19,-0.38,3.04
2. Manufacturing,2.50,2.08,4.85,5.65,3.88,3.69,5.82,6.24
Large Scale,1.66,1.13,4.46,5.46,3.28,2.98,5.62,6.13
Small Scale,8.51,8.35,8.28,8.29,8.21,8.19,8.15,8.18
Slaughtering,3.67,3.53,3.63,3.38,3.34,3.61,3.55,3.52
3.  Electricity Generation & Distribution & Gas,,,,,,,,
Distribution,63.87,1.41,-26.38,-0.74,13.48,9.39,5.82,1.84
4. Construction,-8.56,3.08,1.08,5.96,7.26,13.68,9.84,9.13
COMMODITY PRODUCING SECTOR (A+B),3.21,3.09,1.73,3.49,3.63,2.92,3.79,4.84
C. SERVICES SECTOR,3.94,4.40,5.13,4.46,4.36,5.72,6.46,6.43
1. Wholesale & Retail Trade,2.11,1.66,3.53,4.77,2.60,4.73,7.46,7.51
"2. Transport, Storage & Communication",2.42,4.61,4.03,3.90,5.07,4.89,4.44,3.58
3. Finance & Insurance,-4.22,1.64,8.32,4.31,6.35,6.42,10.78,6.13
4. Housing Services (Ownership of Dwellings),4.02,3.99,4.00,4.00,3.99,3.99,3.99,4.00
5. General Government Services,14.06,11.06,11.32,2.86,4.82,9.72,5.95,11.42
6. Other Private Services,6.63,6.40,5.26,6.22,6.06,6.77,7.98,6.15
GDP {Total of GVA at bp (A + B + C)},3.62,3.84,3.68,4.05,4.06,4.56,5.37,5.79
"",,,,,,,,,% Change
Flows,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
Household Final,,,,,,,,,
Consumption Expenditure,"7,331,681","7,700,707","7,865,407","8,304,881","8,545,418","9,196,738","10,000,073","10,626,857",8.74 6.27
General Government Final,,,,,,,,,
Consumption Expenditure,"941,446","1,010,601","1,112,404","1,129,117","1,220,931","1,321,395","1,390,837","1,587,677",5.26 14.15
Total Investment,"1,418,781","1,454,831","1,495,238","1,536,447","1,760,001","1,887,998","2,068,210","2,185,547",9.55 5.67
Gross  Fixed,,,,,,,,,
Capital Formation,"1,268,315","1,299,089","1,332,648","1,366,256","1,581,759","1,699,905","1,869,394","1,975,936",9.97 5.70
A. Private Sector,"971,509","964,142","1,005,526","1,062,261","1,190,708","1,278,275","1,331,883","1,346,310",4.19 1.08
B. Public Sector,"82,860","74,993","122,621","82,094","110,647","93,165","138,897","146,186",49.09 5.25
C. General Govt.,"213,946","259,954","204,501","221,902","280,404","328,466","398,614","483,440",21.36 21.28
Change in Inventories,"150,466","155,743","162,590","170,190","178,242","188,093","198,816","209,611",5.70 5.43
Export of Goods and,,,,,,,,,
Non-Factor Services,"1,287,961","1,094,756","1,243,433","1,225,028","1,147,318","1,128,923","1,120,111","1,231,243",-0.78 9.92
Less Imports of Goods,,,,,,,,,
and Non-Factor Services,"1,575,767","1,526,988","1,554,628","1,558,582","1,533,530","1,779,230","2,153,252","2,530,613",21.02 17.53
Expenditure on GDP at,,,,,,,,,
Market Prices,"9,404,102","9,733,907","10,161,854","10,636,891","11,140,138","11,755,824","12,425,979","13,100,711",5.70 5.43
Plus Net Factor Income,,,,,,,,,
from the Rest of the World,"372,728","386,559","403,132","474,006","548,903","675,096","669,552","692,657",-0.82 3.45
Expenditure on GNP at,,,,,,,,,
at Market Prices,"9,776,830","10,120,466","10,564,986","11,110,897","11,689,041","12,430,920","13,095,531","13,793,368",5.35 5.33
Less Indirect Taxes,"504,829","533,424","519,054","556,679","616,350","724,998","795,386","779,332",9.71 -2.02
Plus Subsidies,"221,063","269,772","176,255","136,844","107,861","85,976","83,545","71,254",-2.83 -14.71
GNP at Factor Cost,"9,493,064","9,856,814","10,222,187","10,691,062","11,180,552","11,791,898","12,383,690","13,085,290",5.02 5.67
"",,,,,,,,,% Change
Sectors,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
A. Agriculture,"4,592,720","4,753,075","5,334,976","5,976,217","6,536,122","6,749,966","7,313,329","7,764,218",8.3 6.2
1. Crops,"2,309,517","1,966,610","2,192,553","2,612,933","2,690,102","2,620,390","2,821,392","2,981,340",7.7 5.7
Important Crops,"1,532,889","1,236,453","1,411,388","1,760,329","1,735,888","1,718,029","1,822,889","1,886,995",6.1 3.5
Other Crops,"552,499","586,669","639,078","695,138","769,867","739,842","811,353","894,690",9.7 10.3
Cotton Ginning,"224,129","143,488","142,087","157,467","184,347","162,519","187,150","199,656",15.2 6.7
2. Livestock,"2,131,579","2,610,408","2,933,384","3,129,682","3,612,244","3,846,646","4,180,531","4,449,540",8.7 6.4
3. Forestry,"89,390","113,103","136,500","153,722","142,902","170,706","172,513","191,035",1.1 10.7
4. Fishing,"62,234","62,954","72,538","79,880","90,873","112,223","138,893","142,302",23.8 2.5
B. INDUSTRIAL SECTOR,"3,746,997","4,269,666","4,525,694","5,040,094","5,239,146","5,308,368","5,734,819","6,251,345",8.0 9.0
1. Mining & Quarrying,"494,739","642,205","696,976","741,022","707,236","652,814","645,887","710,878",-1.1 10.1
2. Manufacturing,"2,527,651","2,809,684","3,037,311","3,408,468","3,510,536","3,512,556","3,829,856","4,171,476",9.0 8.9
Large Scale,"2,144,831","2,362,410","2,519,037","2,824,463","2,853,222","2,801,169","3,044,228","3,321,937",8.7 9.1
Small Scale,"208,611","241,951","283,107","327,030","373,595","406,648","457,099","507,953",12.4 11.1
Slaughtering,"174,209","205,323","235,167","256,975","283,719","304,739","328,529","341,586",7.8 4.0
3.  Electricity Generation & Distribution & Gas,,,,,,,,,
"","406,156","439,637","368,040","406,192","480,515","541,909","573,961","590,401",
Distribution,,,,,,,,,5.9 2.9
4. Construction,"318,451","378,140","423,367","484,412","540,859","601,089","685,115","778,590",14.0 13.6
COMMODITY PRODUCING SECTOR (A+B),"8,339,717","9,022,741","9,860,670","11,016,311","11,775,268","12,058,334","13,048,148","14,015,563",8.2 7.4
C. SERVICES SECTOR,"9,307,836","10,338,770","11,642,671","13,012,586","14,314,423","15,343,961","16,969,718","18,391,393",10.6 8.4
1. Wholesale & Retail Trade,"3,568,178","4,006,835","4,369,465","4,924,462","5,045,262","5,104,854","5,791,575","6,326,715",13.5 9.2
"2. Transport, Storage & Communication","1,923,433","1,905,704","2,311,796","2,474,818","3,107,785","3,518,864","3,699,169","3,673,362",5.1 -0.7
3. Finance & Insurance,"536,345","570,503","522,327","584,074","595,961","544,301","591,682","662,767",8.7 12.0
4. Housing Services (Ownership of Dwellings),"886,370","984,148","1,092,749","1,229,110","1,371,443","1,506,385","1,668,541","1,845,729",10.8 10.6
5. General Government Services,"1,009,433","1,244,687","1,486,115","1,660,434","1,818,477","2,050,560","2,263,393","2,616,774",10.4 15.6
6. Other Private Services,"1,384,077","1,626,893","1,860,219","2,139,688","2,375,495","2,618,997","2,955,358","3,266,046",12.8 10.5
GDP {Total of GVA at bp (A + B + C)},"17,647,553","19,361,511","21,503,341","24,028,897","26,089,690","27,402,295","30,017,866","32,406,956",9.5 8.0
Indirest Taxes,"1,046,915","1,221,540","1,275,990","1,480,099","1,633,881","1,901,743","2,170,448","2,183,687",14.1 0.6
Subsidies,"418,028","536,551","393,674","340,191","280,549","228,405","225,704","194,152",-1.2 -14.0
GDP {GVA + T - S},"18,276,440","20,046,500","22,385,657","25,168,805","27,443,022","29,075,633","31,962,610","34,396,491",9.9 7.6
Net Factor Income from Abroad,"820,225","1,035,707","1,161,607","1,428,227","1,674,811","1,782,860","1,744,585","1,817,255",-2.1 4.2
Gross National Product (mp),"19,096,665","21,082,207","23,547,264","26,597,032","29,117,833","30,858,493","33,707,195","36,213,746",9.2 7.4
Population (in million),175.31,178.91,182.53,186.19,189.87,193.56,197.26,200.96,1.9 1.9
Per Capita Income(Rs),"108,934","117,837","129,005","142,849","153,357","159,426","170,877","180,204",7.2 5.5
Per Capita Income(US $),"1,274.1","1,320.4","1,333.7","1,388.8","1,514.0","1,529.4","1,632.1","1,640.5",6.7 0.5
GDP Deflator Index,193.50,204.45,219.00,235.18,245.40,246.49,256.25,261.50,4.0 2.0
GDP Deflator (Growth %),19.52,5.66,7.12,7.39,4.34,0.45,3.96,2.05,
"",,,,,,,,,% Change
Flows,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
Household Final,,,,,,,,,
Consumption Expenditure,"14,831,293","16,527,831","18,091,829","20,391,214","21,890,279","23,266,454","26,197,467","28,243,581",12.60 7.81
General Government Final,,,,,,,,,
Consumption Expenditure,"1,779,421","2,102,628","2,463,120","2,708,918","3,011,195","3,287,930","3,599,000","4,256,168",9.46 18.26
Total Investment,"2,580,748","3,022,202","3,348,297","3,683,523","4,310,484","4,560,840","5,144,179","5,649,451",12.79 9.82
Gross  Fixed,,,,,,,,,
Capital Formation,"2,288,325","2,701,458","2,990,126","3,280,822","3,871,396","4,095,630","4,632,777","5,099,107",13.12 10.07
A. Private Sector,"1,697,795","1,950,349","2,202,307","2,483,817","2,843,159","2,995,889","3,205,518","3,371,220",7.00 5.17
B. Public Sector,"146,849","155,813","285,094","207,012","284,912","238,143","339,523","373,289",42.57 9.95
C. General Govt.,"443,681","595,296","502,725","589,993","743,325","861,598","1,087,737","1,354,598",26.25 24.53
Change in Inventories,"292,423","320,744","358,171","402,701","439,088","465,210","511,402","550,344",9.93 7.61
Export of Goods and,,,,,,,,,
Non-Factor Services,"2,552,610","2,485,097","2,972,178","3,081,312","2,910,171","2,659,178","2,632,262","2,933,930",-1.01 11.46
Less Imports of Goods,,,,,,,,,
and Non-Factor Services,"3,467,632","4,091,258","4,489,767","4,696,162","4,679,107","4,698,769","5,610,298","6,686,639",19.40 19.19
Expenditure on GDP at,,,,,,,,,
Market Prices,"18,276,440","20,046,500","22,385,657","25,168,805","27,443,022","29,075,633","31,962,610","34,396,491",9.93 7.61
Plus Net Factor Income,,,,,,,,,
from the Rest of the World,"820,225","1,035,707","1,161,607","1,428,227","1,674,811","1,782,860","1,744,585","1,817,255",-2.15 4.17
Expenditure on GNP at,,,,,,,,,
at Market Prices,"19,096,665","21,082,207","23,547,264","26,597,032","29,117,833","30,858,493","33,707,195","36,213,746",9.23 7.44
Less Indirect Taxes,"1,046,915","1,221,540","1,275,990","1,480,099","1,633,881","1,901,743","2,170,448","2,183,687",14.13 0.61
Plus Subsidies,"418,028","536,551","393,674","340,191","280,549","228,405","225,704","194,152",-1.18 -13.98
GNP at Factor Cost,"18,467,778","20,397,218","22,664,948","25,457,124","27,764,501","29,185,155","31,762,451","34,224,211",8.83 7.75
"",,,,,,,,,% Change
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,F,2015-16 2016-17
GFCF (A+B+C),"2,288,325","2,701,458","2,990,126","3,280,822","3,871,396","4,095,630","4,632,777","5,099,107",13.1 10.1
A. Private Sector,"1,697,795","1,950,349","2,202,307","2,483,817","2,843,159","2,995,889","3,205,518","3,371,220",7.0 5.2
B. Public Sector,"146,849","155,813","285,094","207,012","284,912","238,143","339,523","373,289",42.6 9.9
C. General Govt.,"443,681","595,296","502,725","589,993","743,325","861,598","1,087,737","1,354,598",26.2 24.5
Private & Public (A+B),"1,844,644","2,106,162","2,487,401","2,690,829","3,128,071","3,234,032","3,545,040","3,744,509",9.6 5.6
SECTOR-WISE:,,,,,,,,,
1. Agriculture,"537,050","624,512","698,903","725,388","820,391","850,088","929,068","1,000,659",9.3 7.7
2. Mining and  Quarrying,"42,757","51,993","44,417","70,138","74,361","105,418","114,038","77,675",8.2 -31.9
3. Manufacturing (A+B),"259,307","285,010","372,582","381,421","429,484","485,495","540,874","535,114",11.4 -1.1
A. Large Scale,"243,309","266,844","351,715","357,556","403,087","456,222","507,679","499,091",11.3 -1.7
B. Small Scale (including Slaughtering),"15,998","18,166","20,867","23,865","26,397","29,273","33,195","36,023",13.4 8.5
4.Electricity Generation & Distribution & Gas,,,,,,,,,
"","129,720","132,760","162,755","104,926","218,447","178,264","147,714","243,001",-17.1 64.5
Distribution,,,,,,,,,
5. Construction,"16,626","24,453","30,220","49,042","39,700","49,009","88,679","75,320",80.9 -15.1
6. Wholesale and Retail Trade,"51,616","57,954","64,422","73,000","74,712","77,462","86,619","95,622",11.8 10.4
7. Transport & Communication,"252,884","268,177","351,980","436,682","538,926","507,856","556,165","546,958",9.5 -1.7
8. Finance & Insurance,"28,704","36,096","47,461","40,770","49,559","57,775","70,262","64,266",21.6 -8.5
9. Housing Services (Ownership of Dwellings),"341,565","408,562","468,463","525,816","568,524","577,278","622,467","674,305",7.8 8.3
10. Other Private Services,"184,415","216,645","246,198","283,646","313,967","345,387","389,154","431,589",12.7 10.9
"",,,,,,,,,% Change
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
PRIVATE SECTOR,"1,697,795","1,950,349","2,202,307","2,483,817","2,843,159","2,995,889","3,205,518","3,371,220",7.0 5.2
1. Agriculture,"536,980","624,418","698,810","725,292","820,265","849,943","928,946","1,000,224",9.3 7.7
2. Mining and  Quarrying,"30,606","33,919","29,214","48,205","42,658","77,365","49,797","50,097",-35.6 0.6
3. Manufacturing (A+B),"256,693","282,127","366,804","375,567","427,724","483,781","512,669","517,930",6.0 1.0
A. Large Scale,"240,695","263,961","345,937","351,702","401,327","454,508","479,474","481,907",5.5 0.5
B. Small Scale (including Slaughtering),"15,998","18,166","20,867","23,865","26,397","29,273","33,195","36,023",13.4 8.5
4.Electricity Generation & Distribution & Gas,,,,,,,,,
"","49,866","61,388","9,590","20,855","55,220","23,156","9,193","6,327",-60.3 -31.2
Distribution,,,,,,,,,
5. Construction,"8,836","13,076","14,219","29,122","30,128","43,831","82,867","69,433",89.1 -16.2
6. Wholesale and Retail Trade,"51,616","57,954","64,422","73,000","74,712","77,462","86,619","95,622",11.8 10.4
7. Transport & Communication,"211,803","223,175","267,704","366,473","465,937","466,875","470,041","472,132",0.7 0.4
8. Finance & Insurance,"25,415","29,085","36,883","35,841","44,024","50,811","53,764","53,561",5.8 -0.4
9. Housing Services (Ownership of Dwellings),"341,565","408,562","468,463","525,816","568,524","577,278","622,467","674,305",7.8 8.3
10. Other Private Services,"184,415","216,645","246,198","283,646","313,967","345,387","389,154","431,589",12.7 10.9
"",,,,,,,,,% Change
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
Public Sector and,,,,,,,,,
General Govt. (A+B),"590,530","751,109","787,819","797,005","1,028,237","1,099,741","1,427,260","1,727,887",29.8 21.1
A. Public Sector (Autonomous & Semi Auto-Bodies),"146,849","155,813","285,094","207,012","284,912","238,143","339,523","373,289",42.6 9.9
1. Agriculture,70,94,93,96,126,145,122,435,-15.9 256.6
2. Mining and  Quarrying,"12,151","18,074","15,203","21,933","31,703","28,053","64,241","27,578",129.0 -57.1
3. Manufacturing,"2,614","2,883","5,778","5,854","1,760","1,714","28,205","17,184",1545.6 -39.1
4.Electricity Generation & Distribution & Gas Distribution,"79,854","71,372","153,165","84,071","163,227","155,108","138,521","236,674",-10.7 70.9
5. Construction,"7,790","11,377","16,001","19,920","9,572","5,178","5,812","5,887",12.2 1.3
6. Transport & Communication,"41,081","45,002","84,276","70,209","72,989","40,981","86,124","74,826",110.2 -13.1
Railways,"2,136","4,265","24,478","8,767","6,196","5,825","39,407","10,692",576.5 -72.9
Post Office & PTCL,"11,336","14,146","12,600","18,137","18,232","13,644","16,376","12,201",20.0 -25.5
Others,"27,609","26,591","47,198","43,305","48,561","21,512","30,341","51,933",41.0 71.2
7. Finance & Insurance,"3,289","7,011","10,578","4,929","5,535","6,964","16,498","10,705",136.9 -35.1
B. General Govt.,"443,681","595,296","502,725","589,993","743,325","861,598","1,087,737","1,354,598",26.2 24.5
Federal,"130,832","144,806","147,751","164,736","208,953","229,128","312,699","387,323",36.5 23.9
Provincial,"242,542","372,721","288,464","358,791","442,650","527,461","686,665","838,524",30.2 22.1
District Governments,"70,307","77,769","66,510","66,466","91,722","105,009","88,373","128,751",-15.8 45.7
"",,,,,,,,,% Change
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
GFCF (A+B+C),"1,268,315","1,299,089","1,332,648","1,366,256","1,581,759","1,699,905","1,869,394","1,975,936",10.0 5.7
A. Private Sector,"971,509","964,142","1,005,526","1,062,261","1,190,708","1,278,275","1,331,883","1,346,310",4.2 1.1
B. Public Sector,"82,860","74,993","122,621","82,094","110,647","93,165","138,897","146,186",49.1 5.2
C. General Govt.,"213,946","259,954","204,501","221,902","280,404","328,466","398,614","483,440",21.4 21.3
Private & Public (A+B),"1,054,369","1,039,135","1,128,147","1,144,354","1,301,355","1,371,440","1,470,781","1,492,496",7.2 1.5
SECTOR-WISE:,,,,,,,,,
1. Agriculture,"297,865","289,469","301,042","296,850","315,526","315,864","331,866","349,584",5.1 5.3
2. Mining and  Quarrying,"23,831","25,235","18,656","25,880","26,868","38,002","41,777","28,360",9.9 -32.1
3. Manufacturing (A+B),"125,581","125,389","152,586","144,694","163,023","185,697","198,684","191,688",7.0 -3.5
A. Large Scale,"117,325","116,526","143,072","134,480","152,057","173,925","186,045","178,120",7.0 -4.3
B. Small Scale (including Slaughtering),"8,255","8,863","9,514","10,215","10,966","11,773","12,639","13,569",7.4 7.4
4.Electricity Generation & Distribution & Gas Distribution,"72,300","64,438","68,359","38,716","78,930","64,262","54,114","88,722",-15.8 64.0
5. Construction,"11,260","14,398","16,140","24,268","18,897","23,893","41,698","34,001",74.5 -18.5
6. Wholesale and Retail Trade,"24,890","25,308","26,206","27,456","28,184","29,531","31,743","34,126",7.5 7.5
7. Transport & Communication,"144,110","122,203","153,081","180,484","242,486","263,083","293,444","269,570",11.5 -8.1
8. Finance & Insurance,"13,841","15,762","19,307","15,334","18,695","22,025","25,748","22,936",16.9 -10.9
9. Housing Services (Ownership of Dwellings),"231,319","240,571","250,194","260,202","270,610","281,434","292,691","304,399",4.0 4.0
10. Other Private Services,"109,374","116,362","122,576","130,470","138,136","147,647","159,016","169,109",7.7 6.3
"",,,,,,,,,% Change
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
PRIVATE SECTOR,"971,509","964,142","1,005,526","1,062,261","1,190,708","1,278,275","1,331,883","1,346,310",4.2 1.1
1. Agriculture,"297,817","289,415","300,990","296,800","315,461","315,789","331,804","349,368",5.1 5.3
2. Mining and  Quarrying,"17,058","16,463","12,270","17,787","15,413","27,889","18,243","18,291",-34.6 0.3
3. Manufacturing (A+B),"124,320","124,130","150,236","142,493","162,359","185,044","188,348","185,556",1.8 -1.5
A. Large Scale,"116,065","115,267","140,722","132,278","151,393","173,271","175,709","171,987",1.4 -2.1
B. Small Scale (including Slaughtering),"8,255","8,863","9,514","10,215","10,966","11,773","12,639","13,569",7.4 7.4
4.Electricity Generation & Distribution & Gas Distribution,"27,793","29,796","4,028","7,695","19,952","8,348","3,368","2,310",-59.7 -31.4
5. Construction,"5,984","7,699","7,594","14,411","14,341","21,368","38,965","31,344",82.3 -19.6
6. Wholesale and Retail Trade,"24,890","25,308","26,206","27,456","28,184","29,531","31,743","34,126",7.5 7.5
7. Transport & Communication,"120,699","101,697","116,428","151,467","209,645","241,854","248,003","232,692",2.5 -6.2
8. Finance & Insurance,"12,255","12,701","15,004","13,480","16,607","19,371","19,702","19,115",1.7 -3.0
9. Housing Services (Ownership of Dwellings),"231,319","240,571","250,194","260,202","270,610","281,434","292,691","304,399",4.0 4.0
10. Other Private Services,"109,374","116,362","122,576","130,470","138,136","147,647","159,016","169,109",7.7 6.3
"",,,,,,,,,% Change
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
"",,,,,,F,R,P,2015-16 2016-17
Public Sector and,,,,,,,,,
General Govt. (A+B),"296,806","334,947","327,122","303,996","391,051","421,630","537,511","629,626",27.5 17.1
A. Public Sector (Autonomous & Semi Auto-Bodies),"82,860","74,993","122,621","82,094","110,647","93,165","138,897","146,186",49.1 5.2
1. Agriculture,48,54,52,50,65,75,62,216,-17.3 248.4
2. Mining and  Quarrying,"6,772","8,772","6,386","8,093","11,455","10,113","23,534","10,069",132.7 -57.2
3. Manufacturing,"1,260","1,259","2,350","2,202",664,653,"10,336","6,133",1481.8 -40.7
