,table,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2016-17P,2017-18,2017-18P
Ssp(g) (18%),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,253.0,280.0,287.0,329.0,373.0,407.0,334.0,572.0,874.0,726.0,896.0,1260.0,1172.0,1050.0,1012.0,973.0,886.0,,,879.0
Dap (18:46),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,670.0,710.0,765.0,913.0,1001.0,1079.0,993.0,1934.0,2578.0,2267.0,3236.0,4054.0,3902.0,3640.0,3677.0,3343.0,2596.0,,,2794.0
Sop (50% k),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,682.0,765.0,780.0,809.0,996.0,1170.0,985.0,1497.0,2091.0,2370.0,2807.0,3797.0,3945.0,4233.0,4904.0,5131.0,4100.0,,,3663.0
Nitrogen,FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,2264.0,2285.0,2349.0,2527.0,2796.0,2926.0,2650.0,2925.0,3034.0,3476.0,3134.0,3207.0,2853.0,3185.0,3309.0,2672.0,3730.0,,,2591.0
Phosphorus,FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,677.0,625.0,650.0,674.0,864.0,851.0,979.0,630.0,651.0,860.0,767.0,633.0,747.0,881.0,975.0,1007.0,1269.0,,,1075.0
Potash,FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,23.0,19.0,20.0,22.0,33.0,27.0,43.0,27.0,25.0,24.0,32.0,21.0,21.0,24.0,33.0,20.0,41.0,,,43.0
Total,FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,2966.0,2929.0,3020.0,3222.0,3694.0,3804.0,3672.0,3582.0,3710.0,4360.0,3933.0,3861.0,3621.0,4089.0,4316.0,3699.0,5040.0,,,3709.0
Import of fertilizers 000 n/tonnes,FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,580.0,626.0,766.0,764.0,784.0,1268.0,796.0,876.0,568.0,1444.0,645.0,1177.0,735.0,1148.0,984.0,901.0,961.0,,,923.0
Quantity (tonnes),FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,21255.0,31783.0,22242.0,41406.0,41561.0,33954.0,29089.0,27814.0,28839.0,38227.0,36183.0,32152.0,17882.0,23546.0,23157.0,17386.0,20460.0,,,15980.0
Value (mln. rs),FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES,3477.0,5320.0,3441.0,7157.0,8281.0,6804.0,5848.0,6330.0,8981.0,13473.0,13178.0,12255.0,8507.0,12572.0,14058.0,15974.0,16680.0,,,10529.0
Ztbl,CREDIT DISBURSED BY AGENCIES,27610.0,29108.0,29270.0,29933.0,37409.0,47594.0,56473.0,66939.0,75139.0,79012.0,65361.0,66068.0,67068.0,77920.0,95827.0,90977.0,92451.0,,,51897.0
Domestic private banks,CREDIT DISBURSED BY AGENCIES,27610.0,593.0,1421.0,2702.0,12407.0,16023.0,23976.0,43941.0,41626.0,43777.0,50187.0,60876.0,69271.0,84813.0,108708.0,123097.0,139061.0,,,112915.0
Ppcbl,CREDIT DISBURSED BY AGENCIES,5124.0,5128.0,5485.0,7564.0,7607.0,5889.0,7988.0,5931.0,5579.0,5722.0,7162.0,8520.0,8304.0,8809.0,10486.0,10335.0,10880.0,,,6073.0
Commercial banks,CREDIT DISBURSED BY AGENCIES,12056.0,17486.0,22739.0,33247.0,51310.0,67967.0,80393.0,94749.0,110666.0,119609.0,140312.0,146271.0,172833.0,195488.0,262912.0,311401.0,342068.0,,,292028.0
Mfbs,CREDIT DISBURSED BY AGENCIES,12056.0,17486.0,22739.0,33247.0,51310.0,67967.0,80393.0,94749.0,110666.0,119609.0,140312.0,12115.0,18770.0,22796.0,32951.0,53938.0,87772.0,,,79586.0
Islamic banks,CREDIT DISBURSED BY AGENCIES,12056.0,17486.0,22739.0,33247.0,51310.0,67967.0,80393.0,94749.0,110666.0,119609.0,140312.0,12115.0,18770.0,1527.0,4991.0,8540.0,12326.0,,,9333.0
Mfis/rsps,CREDIT DISBURSED BY AGENCIES,12056.0,17486.0,22739.0,33247.0,51310.0,67967.0,80393.0,94749.0,110666.0,119609.0,140312.0,12115.0,18770.0,1527.0,4991.0,8540.0,19930.0,,,18140.0
Total,CREDIT DISBURSED BY AGENCIES,44790.0,52314.0,58915.0,73446.0,108733.0,137474.0,168830.0,211561.0,233010.0,248120.0,263022.0,293850.0,336247.0,391353.0,515875.0,598287.0,704488.0,,,569973.0
Food crops,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,60.43,61.92,58.94,58.79,61.21,59.94,65.26,64.2,,61.49,
Wheat,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,40.14,44.07,38.92,40.21,40.29,38.63,42.24,40.98,,38.42,
Maize,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,6.47,7.5,8.32,8.09,8.88,8.83,10.08,10.99,,10.0,
Rice,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,13.83,10.34,11.69,10.49,12.04,12.49,12.94,12.23,,13.07,
Cash crop,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,10.66,12.03,11.83,13.15,13.09,12.11,13.51,14.49,,15.18,
Sugarcane,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,10.66,12.03,11.83,13.15,13.09,12.11,13.51,14.49,,15.18,
Fibre crop,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,28.91,26.05,29.23,28.06,25.7,27.95,21.22,21.31,,23.34,
Cotton,CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS,,,,,,,,,,28.91,26.05,29.23,28.06,25.7,27.95,21.22,21.31,,23.34,
citrus,PRODUCTION AND EXPORT OF FRUIT,1898.0,1830.0,1702.0,1760.0,1944.0,2458.0,1472.0,2294.0,2132.0,2150.0,1982.0,2147.0,2002.0,2168.0,2395.0,2344.0,,2180.0,,2180.0
mango,PRODUCTION AND EXPORT OF FRUIT,990.0,1037.0,1035.0,1056.0,1671.0,1754.0,1719.0,1754.0,1728.0,1846.0,1889.0,1700.0,1680.0,1659.0,1717.0,1637.0,,1784.0,,1733.0
Apple,PRODUCTION AND EXPORT OF FRUIT,439.0,367.0,315.0,334.0,352.0,351.0,348.0,442.0,441.0,366.0,526.0,599.0,556.0,606.0,617.0,621.0,,670.0,,649.0
Banana,PRODUCTION AND EXPORT OF FRUIT,139.0,150.0,143.0,175.0,148.0,164.0,151.0,158.0,157.0,155.0,139.0,97.0,116.0,119.0,118.0,135.0,,137.0,,135.0
Apricot,PRODUCTION AND EXPORT OF FRUIT,126.0,125.0,130.0,211.0,205.0,197.0,177.0,240.0,238.0,194.0,190.0,189.0,179.0,178.0,171.0,173.0,,166.0,,166.0
Almonds,PRODUCTION AND EXPORT OF FRUIT,33.0,26.0,24.0,24.0,23.0,23.0,23.0,27.0,26.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,,22.0,,22.0
grapes,PRODUCTION AND EXPORT OF FRUIT,51.0,53.0,52.0,51.0,49.0,49.0,47.0,75.0,76.0,65.0,64.0,64.0,64.0,66.0,66.0,66.0,,66.0,,66.0
guava,PRODUCTION AND EXPORT OF FRUIT,526.0,539.0,532.0,550.0,571.0,552.0,555.0,539.0,512.0,509.0,547.0,495.0,500.0,496.0,488.0,523.0,,548.0,,567.0
(000 tonnes),PRODUCTION AND EXPORT OF FRUIT,260.0,290.0,263.0,354.0,281.0,455.0,343.0,411.0,469.0,687.0,669.0,737.0,718.0,784.0,682.0,677.0,,650.0,,413.0
Value (mln. rs),PRODUCTION AND EXPORT OF FRUIT,4575.0,5084.0,4815.0,5913.0,5408.0,7508.0,6894.0,9085.0,12519.0,20094.0,25017.0,32068.0,38085.0,45196.0,44375.0,44607.0,,39959.0,,26193.0
Wheat,YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS,2325.0,2262.0,2388.0,2375.0,2568.0,2519.0,2716.0,2451.0,2657.0,2553.0,2833.0,2714.0,2796.0,2824.0,2726.0,2779.0,2973.0,,,2919.0
Rice,YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS,2021.0,1836.0,2013.0,1970.0,1995.0,2116.0,2107.0,2212.0,2346.0,2387.0,2039.0,2396.0,2398.0,2437.0,2422.0,2483.0,2514.0,,,2567.0
Sugarcane,YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS,45376.0,48042.0,47324.0,49738.0,48906.0,49246.0,53199.0,51507.0,48634.0,52357.0,55981.0,55196.0,56466.0,57511.0,55062.0,57897.0,61972.0,,,61768.0
Maize,YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS,1741.0,1766.0,1858.0,2003.0,2848.0,2985.0,3036.0,3427.0,3415.0,3487.0,3806.0,3991.0,3981.0,4233.0,4323.0,4426.0,4550.0,,,4640.0
Gram,YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS,439.0,388.0,701.0,622.0,793.0,467.0,797.0,429.0,685.0,527.0,471.0,282.0,757.0,420.0,402.0,304.0,340.0,,,348.0
Cotton,YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS,624.0,579.0,622.0,572.0,760.0,714.0,711.0,649.0,713.0,707.0,725.0,815.0,769.0,774.0,802.0,582.0,730.0,,,752.0
Wheat,PRODUCTION OF IMPORTANT CROPS,19024.0,18226.0,19183.0,19500.0,21612.0,21277.0,23295.0,20959.0,24033.0,23311.0,25214.0,23473.0,24211.0,25979.0,25086.0,25633.0,26674.0,,,25492.0
Rice,PRODUCTION OF IMPORTANT CROPS,4803.0,3882.0,4478.0,4848.0,5025.0,5547.0,5438.0,5563.0,6952.0,6883.0,4823.0,6160.0,5536.0,6798.0,7003.0,6801.0,6849.0,,,7442.0
Bajra,PRODUCTION OF IMPORTANT CROPS,199.0,216.0,189.0,274.0,193.0,221.0,238.0,305.0,296.0,293.0,346.0,304.0,311.0,301.0,294.0,300.0,305.0,,,335.0
Jowar,PRODUCTION OF IMPORTANT CROPS,218.0,222.0,203.0,238.0,186.0,153.0,180.0,170.0,165.0,154.0,141.0,137.0,123.0,119.0,115.0,161.0,148.0,,,154.0
Maize,PRODUCTION OF IMPORTANT CROPS,1643.0,1664.0,1737.0,1897.0,2797.0,3110.0,3088.0,3605.0,3593.0,3261.0,3707.0,4338.0,4220.0,4944.0,4937.0,5271.0,6134.0,,,5702.0
Barley,PRODUCTION OF IMPORTANT CROPS,99.0,100.0,100.0,98.0,92.0,88.0,93.0,87.0,82.0,71.0,71.0,66.0,67.0,67.0,63.0,61.0,58.0,,,58.0
Total food grains,PRODUCTION OF IMPORTANT CROPS,25987.0,24311.0,25889.0,26855.0,29905.0,30396.0,32337.0,31198.0,35121.0,33973.0,34302.0,34478.0,34468.0,38208.0,37498.0,38227.0,40168.0,,,39183.0
Gram,PRODUCTION OF IMPORTANT CROPS,397.0,362.0,675.0,611.0,868.0,480.0,838.0,475.0,741.0,562.0,496.0,284.0,751.0,399.0,379.0,286.0,330.0,,,340.0
Sugarcane,PRODUCTION OF IMPORTANT CROPS,43606.0,48042.0,52056.0,53419.0,47244.0,44666.0,54742.0,63920.0,50045.0,49373.0,55309.0,58397.0,63750.0,67460.0,62826.0,65482.0,75482.0,,,81102.0
Rapeseed and mustard,PRODUCTION OF IMPORTANT CROPS,230.0,221.0,215.0,221.0,203.0,172.0,212.0,176.0,188.0,151.0,188.0,164.0,205.0,203.0,196.0,185.0,181.0,,,181.0
Sesamum,PRODUCTION OF IMPORTANT CROPS,50.7,69.6,19.3,25.0,30.0,35.0,30.0,32.8,41.0,33.4,31.0,30.2,29.2,32.4,33.1,31.8,34.1,,,35.3
Cotton (000 tonnes),PRODUCTION OF IMPORTANT CROPS,1826.0,1805.0,1737.0,1709.0,2426.0,2215.0,2187.0,1982.0,2010.0,2196.0,1949.0,2310.0,2214.0,2170.0,2372.0,1688.0,1816.0,,,2030.0
Cotton (000 bales),PRODUCTION OF IMPORTANT CROPS,10732.0,10613.0,10211.0,10048.0,14265.0,13019.0,12856.0,11655.0,11819.0,12914.0,11460.0,13595.0,13031.0,12769.0,13960.0,9917.0,10671.0,,,11935.0
Tobacco,PRODUCTION OF IMPORTANT CROPS,85.0,94.0,88.0,86.0,101.0,113.0,103.0,108.0,105.0,119.0,103.0,98.0,108.0,130.0,120.0,116.0,100.0,,,100.0
Wheat,AREA UNDER IMPORTANT CROPS,8181.0,8058.0,8034.0,8216.0,8358.0,8448.0,8578.0,8550.0,9046.0,9132.0,8901.0,8650.0,8660.0,9199.0,9204.0,9224.0,8972.0,,,8734.0
Rice,AREA UNDER IMPORTANT CROPS,2377.0,2114.0,2225.0,2461.0,2520.0,2621.0,2581.0,2515.0,2963.0,2883.0,2365.0,2571.0,2309.0,2789.0,2891.0,2739.0,2724.0,,,2899.0
Bajra,AREA UNDER IMPORTANT CROPS,390.0,417.0,349.0,539.0,343.0,441.0,504.0,531.0,470.0,476.0,548.0,458.0,461.0,475.0,462.0,486.0,469.0,,,489.0
Jowar,AREA UNDER IMPORTANT CROPS,354.0,358.0,338.0,392.0,308.0,254.0,292.0,281.0,263.0,248.0,229.0,214.0,198.0,198.0,195.0,274.0,256.0,,,255.0
Maize,AREA UNDER IMPORTANT CROPS,944.0,942.0,935.0,947.0,982.0,1042.0,1017.0,1052.0,1052.0,935.0,974.0,1087.0,1060.0,1168.0,1142.0,1191.0,1348.0,,,1229.0
Barley,AREA UNDER IMPORTANT CROPS,113.0,111.0,108.0,102.0,93.0,90.0,94.0,91.0,86.0,84.0,77.0,72.0,73.0,71.0,68.0,66.0,61.0,,,60.0
Total food grains,AREA UNDER IMPORTANT CROPS,12359.0,12000.0,11989.0,12657.0,12603.0,12896.0,13066.0,13020.0,13880.0,13758.0,13094.0,13052.0,12761.0,13900.0,13962.0,13980.0,13830.0,,,13666.0
Gram,AREA UNDER IMPORTANT CROPS,905.0,934.0,963.0,982.0,1094.0,1029.0,1052.0,1107.0,1081.0,1067.0,1054.0,1008.0,992.0,950.0,943.0,940.0,971.0,,,978.0
Sugarcane,AREA UNDER IMPORTANT CROPS,961.0,1000.0,1100.0,1074.0,966.0,907.0,1029.0,1241.0,1029.0,943.0,988.0,1058.0,1129.0,1173.0,1141.0,1131.0,1218.0,,,1313.0
Rapeseed and mustard,AREA UNDER IMPORTANT CROPS,273.0,269.0,256.0,259.0,243.0,217.0,256.0,224.0,233.0,178.0,212.0,201.0,224.0,220.0,214.0,201.0,190.0,,,198.0
Sesamum,AREA UNDER IMPORTANT CROPS,101.0,136.0,88.0,60.0,66.0,82.0,71.0,76.0,91.0,80.0,78.0,76.0,71.0,82.0,83.0,79.0,80.0,,,83.0
Cotton,AREA UNDER IMPORTANT CROPS,2927.0,3116.0,2794.0,2989.0,3193.0,3103.0,3075.0,3054.0,2820.0,3106.0,2689.0,2835.0,2879.0,2806.0,2961.0,2902.0,2489.0,,,2699.0
Tobacco,AREA UNDER IMPORTANT CROPS,46.0,49.0,47.0,46.0,50.0,56.0,51.0,51.0,50.0,56.0,51.0,46.0,50.0,49.0,54.0,53.0,47.0,,,47.0
Total area,LAND UTILIZATION,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,79.61,,79.61,,79.61
Reported area,LAND UTILIZATION,59.44,59.33,59.45,59.46,59.48,57.22,57.05,57.08,57.21,57.21,57.64,57.73,57.79,57.99,57.99,58.0,,57.9,,57.9
Forest area,LAND UTILIZATION,3.77,3.8,4.04,4.01,4.02,4.03,4.19,4.21,4.21,4.23,4.26,4.26,4.26,4.55,4.54,4.54,,4.55,,4.55
Not available for cultivation,LAND UTILIZATION,24.37,24.31,24.25,24.23,24.39,22.87,22.7,23.41,23.47,23.49,23.37,23.25,23.06,23.01,23.1,23.04,,23.0,,23.0
Culturable waste,LAND UTILIZATION,9.17,8.95,8.95,9.1,8.94,8.21,8.3,8.19,8.15,8.09,7.98,8.19,8.21,8.27,8.3,8.29,,8.25,,8.25
Current fallow,LAND UTILIZATION,6.73,6.6,6.61,6.23,6.86,6.72,5.72,4.93,5.04,5.2,6.38,7.05,7.04,6.68,6.66,6.74,,6.75,,6.75
net area sown,LAND UTILIZATION,15.4,15.67,15.6,15.89,15.27,15.39,16.16,16.34,16.34,16.2,15.65,14.98,15.22,15.4,15.46,15.39,,15.36,,15.36
Total area cultivated,LAND UTILIZATION,22.13,22.27,22.21,22.12,22.13,22.11,21.87,21.17,21.38,21.4,22.03,22.03,22.26,22.06,22.1,22.11,,22.06,,22.06
Area sown more than once,LAND UTILIZATION,6.64,6.45,6.25,7.05,7.51,7.74,7.4,7.51,7.78,7.67,7.07,7.52,7.34,7.76,7.82,7.76,,7.56,,7.56
Total cropped area,LAND UTILIZATION,22.04,22.12,21.85,22.94,22.78,23.13,23.56,23.85,24.12,23.87,22.72,22.5,22.56,22.16,23.27,23.67,,23.25,,23.25
All major crops,INDEX OF AGRICULTURAL PRODUCTION,93.0,97.0,104.0,107.0,104.0,101.0,117.0,126.0,114.0,111.0,119.0,123.0,22.56,22.16,23.27,23.67,,23.25,,23.25
