,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17 (P),2017-18 (E),table
Universities numbers total,124944.0,276274.0,331745.0,423236.0,471964.0,521473.0,605885.0,741092.0,803507.0,935599.0,1107682.0,1319799.0,1594648.0,1594648.0,1299160.0,1355649.0,1463279.0,1423097.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Universities numbers female,36699.0,101770.0,128066.0,178723.0,195555.0,212997.0,255695.0,342125.0,356233.0,426323.0,521284.0,642198.0,805062.0,805062.0,602550.0,602509.0,667912.0,629984.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Primary schools in 000 total,408.9,413.9,433.5,432.2,450.1,454.2,456.0,452.6,465.3,441.7,440.5,427.4,428.8,420.1,430.9,444.6,475.2,496.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Primary schools in 000 female,183.6,183.5,191.7,195.3,206.5,210.6,212.6,216.0,216.2,208.9,210.1,198.6,209.1,209.5,218.9,226.3,258.9,279.3,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Middle schools in 000 total,209.7,230.1,236.3,239.4,246.7,310.8,313.5,320.6,320.5,331.5,335.0,351.4,362.6,364.8,380.8,394.2,455.4,493.1,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Middle schools in 000 female,127.8,139.3,145.8,146.6,151.5,201.6,203.3,208.2,209.0,216.6,220.3,233.9,241.5,243.6,256.1,270.3,325.7,362.3,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
High schools in 000 total,260.3,270.2,278.0,276.9,282.1,417.1,421.7,429.9,439.3,447.1,452.8,458.7,489.6,500.5,514.2,529.5,560.6,583.1,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
High schools in 000 female,125.3,126.1,131.9,134.2,138.6,209.9,213.0,219.7,225.5,230.4,235.3,271.3,287.2,296.3,306.2,318.0,342.6,360.4,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Technical & voca- tional institutions numbers total,9441.0,7192.0,7273.0,7042.0,7356.0,14565.0,14622.0,14914.0,15264.0,15338.0,15591.0,15847.0,16109.0,16377.0,19393.0,18157.0,18207.0,18885.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Technical & voca- tional institutions numbers female,1959.0,1863.0,1623.0,1325.0,1450.0,4658.0,4676.0,4770.0,5061.0,4905.0,4993.0,5079.0,5168.0,5259.0,5353.0,4384.0,4304.0,4043.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Higher sec/ inter colleges numbers total,48054.0,55146.0,57681.0,57881.0,57661.0,69425.0,71246.0,74223.0,76184.0,77248.0,81183.0,97633.0,132011.0,124336.0,118079.0,123061.0,120336.0,119046.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Higher sec/ inter colleges numbers female,21506.0,23016.0,24146.0,24190.0,24366.0,33959.0,34996.0,36162.0,37149.0,37595.0,39378.0,52746.0,71121.0,58867.0,63569.0,66528.0,63386.0,65008.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Degree colleges numbers total,11019.0,10598.0,11164.0,11245.0,15653.0,20568.0,20768.0,20971.0,21176.0,30754.0,36349.0,40191.0,48809.0,25964.0,36587.0,37082.0,37857.0,43637.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Degree colleges numbers female,4218.0,4164.0,4410.0,4505.0,6690.0,10485.0,10587.0,10690.0,10794.0,14313.0,16181.0,16815.0,19319.0,7599.0,7239.0,7379.0,7541.0,7522.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
Universities numbers total,5988.0,5160.0,6180.0,37428.0,37469.0,37509.0,44537.0,46893.0,52833.0,57780.0,63557.0,70053.0,77557.0,77557.0,88288.0,83375.0,58733.0,53981.0,"NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX"
